#{"t_start": 1781167131.9304278, "env_id": "None"}
r,l,t
1.660027,300,7.966599
-1.821938,300,9.363402
-0.747747,300,10.426253
-1.957729,300,11.646516
-1.992835,300,14.516393
-0.874137,300,15.689851
2.687437,300,19.303078
0.796432,300,20.490701
2.881921,300,23.434549
-1.286205,300,24.570535
-0.725307,300,25.802627
53.847914,200,26.583652
-0.778202,300,29.410996
-1.087696,300,32.857688
2.191472,300,33.827361
-1.636049,300,34.733688
-3.004393,300,35.558562
-1.735643,300,38.403568
1.072793,300,39.390232
1.600048,300,40.19357
1.067216,300,43.420158
-0.975869,300,46.215781
-1.312001,300,47.153469
1.206357,300,48.249581
-1.096214,300,49.250948
4.20628,300,52.091073
-1.433233,300,53.369369
-0.776065,300,56.613064
1.905713,300,57.512674
52.99771,197,59.866428
-3.721386,300,60.773989
-2.067636,300,61.716819
-1.079228,300,62.674976
53.262808,197,63.347991
-0.686441,300,65.893368
2.44535,300,69.273809
-1.046968,300,70.14539
-1.50719,300,71.199904
2.774564,300,73.747457
-1.504363,300,74.600483
2.517654,300,75.602675
1.93659,300,79.039742
1.743335,300,81.637536
-1.476438,300,82.565254
1.59451,300,83.424538
-1.225725,300,84.40843
2.610647,300,87.129482
-0.879506,300,88.215268
2.347721,300,92.075925
1.821823,300,93.211415
-0.878322,300,94.260894
2.006116,300,96.802529
53.082735,159,97.384984
0.271898,300,98.298475
-0.931438,300,99.268245
-1.498663,300,102.098223
53.492389,215,105.329866
2.604437,300,106.310836
-1.181745,300,107.187705
-3.55881,300,108.243674
-1.099118,300,110.744127
-0.871763,300,111.719621
-3.668655,300,112.711632
1.915548,300,116.487741
52.359304,201,118.689223
52.294232,217,119.378443
-1.264667,300,120.242499
2.440962,300,121.29283
54.07436,171,121.82404
52.751928,168,124.097824
2.124092,300,125.065697
-1.638682,300,128.294036
1.943163,300,129.568538
-0.616522,300,130.611796
0.326232,300,133.420649
3.159203,300,134.365044
2.093872,300,135.315648
53.627272,174,135.768346
53.257502,179,136.342747
53.649814,178,140.689413
-0.965692,300,141.676743
53.767217,152,142.253326
-0.840891,300,143.110179
53.597201,181,143.634944
-2.404509,300,146.010526
-1.799492,300,147.020795
