#{"t_start": 1781182046.04244, "env_id": "None"}
r,l,t
51.888345,238,9.17087
-19.970306,300,12.432036
53.249533,155,14.053761
-1.784256,300,17.139904
51.310557,169,19.129948
-12.10756,300,22.324856
-0.930837,300,25.651685
-9.462237,300,28.837461
1.292054,300,32.035797
52.511036,253,34.851048
53.160565,167,36.761801
1.9183,300,39.793857
-1.291025,300,42.971462
-1.172871,300,45.742691
51.736737,262,48.343487
0.843253,300,51.441617
-8.531182,300,54.428071
-10.978648,300,57.445104
-1.632029,300,60.535727
52.054942,240,63.002635
-1.427751,300,66.11256
52.131516,207,67.953018
-6.759168,300,70.764807
-2.828094,300,73.628625
-0.601715,300,76.433545
2.130456,300,79.434331
-3.824163,300,82.793937
53.47475,155,84.8376
-0.996212,300,88.498168
-0.079096,300,92.189573
-1.181715,300,95.382827
-1.26857,300,98.635611
-23.286251,300,101.560273
1.699992,300,104.674211
-0.774134,300,107.730376
1.031962,300,110.71477
-14.834192,300,115.86058
-5.314884,300,118.835755
-14.256559,300,121.710353
-10.075256,300,124.636833
1.857536,300,127.578057
51.564966,229,129.931774
0.718402,300,132.990453
-1.388384,300,135.920374
-1.917816,300,138.815363
-14.507492,300,141.804734
1.059494,300,144.849033
-2.650169,300,147.874324
-10.143338,300,150.867656
53.081244,137,152.359316
-2.154172,300,155.522564
-1.83099,300,158.845642
0.138644,300,161.716615
-1.666569,300,165.014864
-14.87995,300,169.636663
-1.229492,300,174.068134
-0.115199,300,178.130394
-3.656153,300,181.225308
-2.281303,300,184.547139
-3.750521,300,187.773798
52.421524,146,189.303912
-9.767395,300,192.676583
-10.38534,300,195.609862
-0.649844,300,198.501792
51.845112,238,200.903493
1.752831,300,203.86041
-0.327419,300,206.744352
-10.012611,300,209.632224
53.159336,210,211.741063
-10.379081,300,214.744848
-13.329528,300,217.811289
51.988041,191,221.48106
-0.673926,300,224.818574
-1.597736,300,228.303935
-9.432843,300,231.556967
-0.573994,300,234.952822
52.362886,199,237.091964
-13.746286,300,240.587274
-14.634349,300,244.100485
-2.3543,300,247.382114
-15.899766,300,250.586695
-7.154664,300,253.860438
1.848204,300,257.050539
0.228815,300,260.218101
-3.375159,300,263.644964
-8.942041,300,266.85041
-0.507589,300,269.856181
-8.876399,300,272.984795
2.359887,300,276.387109
-16.062085,300,279.532214
-0.952202,300,282.50994
-0.790846,300,285.46962
53.161289,163,287.130569
1.137899,300,290.283661
53.148829,139,291.971854
-0.277625,300,295.333189
51.713838,250,298.210318
-1.927403,300,307.364411
-2.38672,300,310.588494
-2.204814,300,313.722782
52.740534,268,317.564864
0.433034,300,322.144797
2.488525,300,326.36096
-2.55283,300,330.511804
52.91392,290,334.571971
-1.127966,300,338.583291
-0.93163,300,345.067856
-0.649315,300,349.254454
-1.252247,300,353.408559
-0.010075,300,357.660407
52.016864,159,359.719926
-3.787034,300,363.710267
-3.453864,300,367.727388
-1.877364,300,371.787028
-0.894352,300,375.902854
-1.749503,300,379.859575
-0.623539,300,383.849493
-0.937967,300,387.550096
-1.533497,300,390.961409
-0.998418,300,394.120102
53.31134,157,395.985824
-8.699509,300,399.230907
52.200062,164,400.820662
-11.920548,300,403.600741
-4.708147,300,406.392627
1.058093,300,409.286966
53.084417,153,410.668276
-10.748619,300,413.485329
-13.747944,300,416.490721
-11.723205,300,419.348755
2.51129,300,422.140414
3.153208,300,424.982342
1.162646,300,427.778574
-6.5838,300,430.653049
-5.659089,300,433.70064
52.362545,184,435.536987
-15.834263,300,438.42593
-2.761611,300,441.441126
2.418881,300,444.225797
-0.499201,300,447.16
1.663246,300,450.020828
-15.178608,300,452.777029
-2.787419,300,457.406968
53.117745,157,458.820608
53.335415,154,460.195907
1.230958,300,462.96533
-16.0396,300,465.748572
-17.08451,300,468.64198
1.954305,300,471.521537
52.21701,186,473.314817
-0.474215,300,476.246223
53.243935,273,478.782837
53.158565,148,480.164654
-9.539967,300,482.941401
-2.01631,300,485.63687
52.449269,195,487.409248
-6.620673,300,490.349672
-1.680622,300,493.315317
-1.497142,300,496.072924
52.661575,158,497.661116
1.335614,300,500.508519
-1.008877,300,503.538931
-1.071518,300,506.207844
53.049897,178,507.841165
-1.373874,300,510.559883
-1.362309,300,513.4149
-1.185255,300,516.374204
-11.787643,300,519.246891
-2.076055,300,522.183317
-9.662772,300,525.19706
-0.365226,300,528.000725
52.452682,178,529.730572
53.084106,206,531.766807
-4.304791,300,534.73339
-10.633076,300,537.64588
2.961618,300,540.548056
53.242886,183,542.620879
-0.43068,300,545.913839
-2.715033,300,548.838011
1.545527,300,553.352293
1.911545,300,556.284327
-0.830238,300,559.318451
-8.871965,300,562.525855
0.000231,300,565.639116
-3.556721,300,568.363855
-1.050334,300,571.145998
53.411851,180,572.858448
-1.978866,300,575.699357
-2.717691,300,578.454988
-1.243583,300,581.643188
-1.228517,300,584.744472
-2.099954,300,587.655236
53.132895,158,589.147107
-0.393322,300,591.97964
-1.198971,300,594.924353
52.783435,174,596.54749
-8.714392,300,599.512786
-1.219623,300,602.674938
1.063976,300,605.712369
-1.37881,300,608.485141
-1.984262,300,611.399301
-0.214976,300,614.31487
-1.532832,300,617.07325
-4.906362,300,619.936735
-12.948698,300,622.682434
-1.27583,300,625.511187
-1.471016,300,628.292125
-6.38518,300,631.128913
1.091454,300,634.125031
-1.993713,300,637.237249
-1.028017,300,640.154988
-4.349391,300,643.243855
52.355688,175,644.963176
52.083899,198,647.165402
53.187047,260,649.85031
53.614186,181,653.571782
-3.927216,300,656.667598
-1.278536,300,659.771127
-1.672203,300,662.872918
-6.876734,300,665.881579
-1.73812,300,669.245011
2.27935,300,673.045582
-4.185846,300,676.389867
-2.150071,300,679.862968
-5.306631,300,683.464385
-1.592404,300,687.034393
-0.517397,300,690.647385
-12.007752,300,693.754451
-2.229503,300,697.118655
-7.536181,300,700.594898
-1.763002,300,703.833363
53.166996,199,705.661478
52.286458,179,707.433631
-0.964611,300,710.408419
-3.697075,300,713.346884
-17.48282,300,716.355796
-5.308167,300,719.108499
-0.406005,300,721.929067
-20.069686,300,724.846806
-3.90633,300,727.868768
-3.544782,300,731.098037
-1.864296,300,734.017547
0.148995,300,736.744545
-0.973104,300,740.521641
52.357109,218,742.812123
-0.851949,300,893.634662
-5.502078,300,898.082664
53.590125,165,900.575211
-14.181793,300,905.310923
-8.902519,300,910.912831
-2.889325,300,918.600437
-3.785368,300,923.070357
-1.664374,300,926.763173
51.596775,225,929.582737
-3.575761,300,932.998427
50.799936,241,935.559852
52.109092,145,937.070532
-0.844707,300,940.324918
-11.013758,300,943.400571
-2.050204,300,946.542177
-32.856495,300,949.891938
-1.828367,300,953.175125
51.197923,266,956.194836
-15.412213,300,959.556221
-9.737119,300,962.795386
-2.1065,300,966.0415
-5.56333,300,969.470418
-4.149585,300,972.745799
-0.292998,300,976.176242
-1.429412,300,979.554016
-8.061744,300,982.806047
-8.809643,300,986.068458
-2.104763,300,989.368507
-0.789584,300,992.676693
-1.222458,300,995.902473
-4.362806,300,999.034255
1.492601,300,1002.13254
1.043327,300,1005.420246
-13.359618,300,1008.610404
-1.231756,300,1011.887053
-0.842485,300,1015.168648
-2.175594,300,1018.38508
-13.146229,300,1021.476111
-9.09387,300,1024.63105
-1.049887,300,1030.299433
-42.768573,300,1033.464654
-1.146026,300,1036.567388
0.804055,300,1039.82494
-36.101704,300,1043.157845
-0.763809,300,1046.636569
-4.394055,300,1050.452404
-4.876501,300,1053.739028
-10.435302,300,1057.259462
-0.638186,300,1060.718706
-0.62483,300,1064.001366
-0.194361,300,1067.221673
-25.751818,300,1070.414194
